"Line item","Jan FY26","Feb FY26","Mar FY26","Q1 total","Apr FY26","May FY26","Jun FY26","Q2 total","Jul FY26","Aug FY26","Sep FY26","Q3 total","Oct FY26","Nov FY26","Dec FY26","Q4 total","FY26 full year"
"Total services","1,066","1,113","1,166","3,345","1,184","1,218","1,265","3,667","1,293","1,321","1,370","3,984","1,404","1,445","1,494","4,343","15,339"
"Total SW","361","377","395","1,133","401","413","428","1,242","438","447","464","1,349","476","489","506","1,471","5,195"
"Total MSP","292","305","320","917","325","334","347","1,006","354","362","376","1,092","385","396","410","1,191","4,206"
"","","","","","","","","","","","","","","","","",""
"COGS","989","1,032","1,081","3,102","1,098","1,130","1,173","3,401","1,199","1,225","1,271","3,694","1,302","1,340","1,386","4,028","14,226"
"  COGS payroll","918","959","1,004","2,881","1,020","1,049","1,089","3,159","1,113","1,137","1,180","3,431","1,210","1,244","1,287","3,741","13,211"
"    DD","488","510","534","1,532","542","558","579","1,680","592","605","628","1,825","643","662","684","1,989","7,026"
"      DD services","267","278","291","836","296","305","316","917","323","330","343","996","351","361","374","1,086","3,835"
"      DD software","129","135","141","405","143","147","153","444","156","160","166","482","170","175","181","525","1,856"
"      Managed DD","48","50","53","151","53","55","57","166","58","60","62","180","63","65","67","196","693"
"      Managed security","45","47","49","140","50","51","53","154","54","55","57","167","59","61","63","182","643"
"    SN","430","449","470","1,349","478","491","510","1,479","521","533","553","1,606","566","583","603","1,751","6,185"
"      SN services","284","296","310","890","315","324","337","976","344","351","365","1,060","374","384","398","1,156","4,082"
"      SN software","95","99","103","297","105","108","112","325","115","117","122","353","125","128","133","385","1,361"
"      SN MSP","52","54","56","162","57","59","61","177","63","64","66","193","68","70","72","210","742"
"  COGS travel","22","23","24","70","25","26","27","77","27","28","29","84","29","30","31","91","322"
"    DD","10","11","11","32","11","12","12","35","13","13","13","39","14","14","14","42","148"
"    SN","12","13","13","38","13","14","14","41","15","15","15","45","16","16","17","49","173"
"  Marketplace fees","24","25","26","76","27","28","29","83","29","30","31","90","32","33","34","98","346"
"  Contractor fees","24","25","26","76","27","28","29","83","29","30","31","90","32","33","34","98","346"
"Total DD COGS","523","546","572","1,640","581","597","620","1,798","634","648","672","1,953","689","708","733","2,130","7,521"
"Total SN COGS","466","486","509","1,462","518","533","553","1,603","565","577","599","1,741","614","631","653","1,898","6,705"
"","","","","","","","","","","","","","","","","",""
"Gross margin $","731","763","799","2,293","812","835","867","2,514","886","905","939","2,731","963","990","1,024","2,977","10,514"
"  DD","389","406","425","1,219","432","444","461","1,337","471","481","499","1,452","512","527","545","1,583","5,591"
"    DD services","249","260","273","782","277","285","296","858","302","309","320","932","328","338","349","1,016","3,587"
"    DD software","77","81","85","243","86","88","92","266","94","96","99","289","102","105","108","315","1,113"
"    Managed DD","55","57","60","173","61","63","65","189","67","68","71","206","72","75","77","224","792"
"    Managed security","41","43","45","129","46","47","49","142","50","51","53","154","54","56","58","168","594"
"  SN","342","357","374","1,074","380","391","406","1,177","415","424","440","1,279","451","464","480","1,394","4,923"
"    SN services","267","278","291","836","296","305","316","917","323","330","343","996","351","361","374","1,086","3,835"
"    SN software","60","63","66","189","67","69","71","207","73","75","77","225","79","82","84","245","866"
"    SN MSP","52","54","56","162","57","59","61","177","63","64","66","193","68","70","72","210","742"
"Gross margin %","42.5%","42.5%","42.5%","42.5%","42.5%","42.5%","42.5%","42.5%","42.5%","42.5%","42.5%","42.5%","42.5%","42.5%","42.5%","42.5%","42.5%"
"  DD","42.6%","42.6%","42.6%","42.6%","42.6%","42.6%","42.6%","42.6%","42.6%","42.6%","42.6%","42.6%","42.6%","42.6%","42.6%","42.6%","42.6%"
"    DD services","48.3%","48.3%","48.3%","48.3%","48.3%","48.3%","48.3%","48.3%","48.3%","48.3%","48.3%","48.3%","48.3%","48.3%","48.3%","48.3%","48.3%"
"    DD software","37.5%","37.5%","37.5%","37.5%","37.5%","37.5%","37.5%","37.5%","37.5%","37.5%","37.5%","37.5%","37.5%","37.5%","37.5%","37.5%","37.5%"
"    Managed DD","53.3%","53.3%","53.3%","53.3%","53.3%","53.3%","53.3%","53.3%","53.3%","53.3%","53.3%","53.3%","53.3%","53.3%","53.3%","53.3%","53.3%"
"    Managed security","48.0%","48.0%","48.0%","48.0%","48.0%","48.0%","48.0%","48.0%","48.0%","48.0%","48.0%","48.0%","48.0%","48.0%","48.0%","48.0%","48.0%"
"  SN","42.3%","42.3%","42.3%","42.3%","42.3%","42.3%","42.3%","42.3%","42.3%","42.3%","42.3%","42.3%","42.3%","42.3%","42.3%","42.3%","42.3%"
"    SN services","48.4%","48.4%","48.4%","48.4%","48.4%","48.4%","48.4%","48.4%","48.4%","48.4%","48.4%","48.4%","48.4%","48.4%","48.4%","48.4%","48.4%"
"    SN software","38.9%","38.9%","38.9%","38.9%","38.9%","38.9%","38.9%","38.9%","38.9%","38.9%","38.9%","38.9%","38.9%","38.9%","38.9%","38.9%","38.9%"
"    SN MSP","50.0%","50.0%","50.0%","50.0%","50.0%","50.0%","50.0%","50.0%","50.0%","50.0%","50.0%","50.0%","50.0%","50.0%","50.0%","50.0%","50.0%"
"","","","","","","","","","","","","","","","","",""
"Operating expenses","499","521","545","1,565","554","570","592","1,715","605","618","641","1,863","657","676","699","2,031","7,175"
"  Total general & administrative","138","144","150","432","153","157","163","473","167","170","177","514","181","186","193","560","1,979"
"    DD","31","32","34","97","34","35","37","106","38","38","40","116","41","42","43","126","445"
"    SN","34","36","38","108","38","39","41","118","42","43","44","129","45","47","48","140","495"
"    Operations","72","75","79","227","80","83","86","248","88","89","93","270","95","98","101","294","1,039"
"  Total personnel expenses","189","197","207","593","210","216","224","651","229","234","243","707","249","256","265","771","2,721"
"    DD","52","54","56","162","57","59","61","177","63","64","66","193","68","70","72","210","742"
"    SN","58","61","64","183","65","67","69","201","71","72","75","218","77","79","82","238","841"
"    Operations","79","83","86","248","88","90","94","272","96","98","102","296","104","107","111","322","1,138"
"  Total sales & marketing","172","180","188","540","191","197","204","592","209","213","221","643","227","233","241","701","2,474"
"    DD","55","57","60","173","61","63","65","189","67","68","71","206","72","75","77","224","792"
"    SN","52","54","56","162","57","59","61","177","63","64","66","193","68","70","72","210","742"
"    Operations","65","68","71","205","73","75","78","225","79","81","84","244","86","89","92","266","940"
"","","","","","","","","","","","","","","","","",""
"Other expenses","31","32","34","97","34","35","37","106","38","38","40","116","41","42","43","126","445"
"  Other expenses","41","43","45","129","46","47","49","142","50","51","53","154","54","56","58","168","594"
"  Other expenses — EBITDA add back","10","11","11","32","11","12","12","35","13","13","13","39","14","14","14","42","148"
"","","","","","","","","","","","","","","","","",""
"EBITDA adjustments","19","20","21","59","21","22","22","65","23","23","24","71","25","26","27","77","272"
"  McDermott, Will & Emery","19","20","21","59","21","22","22","65","23","23","24","71","25","26","27","77","272"
"","","","","","","","","","","","","","","","","",""
"EBITDA","201","210","220","631","223","230","239","692","244","249","259","752","265","273","282","820","2,895"
"Adj. EBITDA","220","230","241","691","244","252","261","757","267","273","283","822","290","298","308","897","3,167"
"EBITDA %","11.7%","11.7%","11.7%","11.7%","11.7%","11.7%","11.7%","11.7%","11.7%","11.7%","11.7%","11.7%","11.7%","11.7%","11.7%","11.7%","11.7%"
"ANALYSIS","","","","","","","","","","","","","","","","",""
"Bookings","1,820","1,755","2,110","5,685","1,900","2,010","2,520","6,430","2,130","2,190","2,760","7,080","3,050","3,190","3,610","9,850","29,045"
"  DD share of bookings","25.3%","29.5%","23.5%","26.0%","30.7%","27.2%","25.9%","27.7%","32.1%","28.9%","27.1%","29.2%","29.3%","29.5%","27.9%","28.8%","28.1%"
"  SN share of bookings","51.9%","47.2%","53.8%","51.2%","45.9%","49.8%","51.3%","49.2%","44.3%","47.9%","49.9%","47.6%","47.5%","47.3%","49.0%","48.0%","48.8%"
"","","","","","","","","","","","","","","","","",""
"Gross profit","731","763","799","2,293","812","835","867","2,514","886","905","939","2,731","963","990","1,024","2,977","10,514"
"  DD gross profit","389","406","425","1,219","432","444","461","1,337","471","481","499","1,452","512","527","545","1,583","5,591"
"  DD gross profit %","42.6%","42.6%","42.6%","42.6%","42.6%","42.6%","42.6%","42.6%","42.6%","42.6%","42.6%","42.6%","42.6%","42.6%","42.6%","42.6%","42.6%"
"  SN gross profit","342","357","374","1,074","380","391","406","1,177","415","424","440","1,279","451","464","480","1,394","4,923"
"  SN gross profit %","42.3%","42.3%","42.3%","42.3%","42.3%","42.3%","42.3%","42.3%","42.3%","42.3%","42.3%","42.3%","42.3%","42.3%","42.3%","42.3%","42.3%"
"Total gross profit","731","763","799","2,293","812","835","867","2,514","886","905","939","2,731","963","990","1,024","2,977","10,514"
"Total gross profit %","42.5%","42.5%","42.5%","42.5%","42.5%","42.5%","42.5%","42.5%","42.5%","42.5%","42.5%","42.5%","42.5%","42.5%","42.5%","42.5%","42.5%"
"","","","","","","","","","","","","","","","","",""
"COGS + opex","1,488","1,553","1,626","4,667","1,652","1,700","1,765","5,116","1,804","1,842","1,912","5,558","1,959","2,015","2,085","6,059","21,400"
"  % revenue","86.5%","86.5%","86.5%","86.5%","86.5%","86.5%","86.5%","86.5%","86.5%","86.5%","86.5%","86.5%","86.5%","86.5%","86.5%","86.5%","86.5%"
"","","","","","","","","","","","","","","","","",""
"Opex & net income","","","","","","","","","","","","","","","","",""
"  COGS % of revenue","57.5%","57.5%","57.5%","57.5%","57.5%","57.5%","57.5%","57.5%","57.5%","57.5%","57.5%","57.5%","57.5%","57.5%","57.5%","57.5%","57.5%"
"  G&A % of revenue","8.0%","8.0%","8.0%","8.0%","8.0%","8.0%","8.0%","8.0%","8.0%","8.0%","8.0%","8.0%","8.0%","8.0%","8.0%","8.0%","8.0%"
"  Personnel % of revenue","11.0%","11.0%","11.0%","11.0%","11.0%","11.0%","11.0%","11.0%","11.0%","11.0%","11.0%","11.0%","11.0%","11.0%","11.0%","11.0%","11.0%"
"  S&M % of revenue","10.0%","10.0%","10.0%","10.0%","10.0%","10.0%","10.0%","10.0%","10.0%","10.0%","10.0%","10.0%","10.0%","10.0%","10.0%","10.0%","10.0%"
"  Net operating income margin","13.5%","13.5%","13.5%","13.5%","13.5%","13.5%","13.5%","13.5%","13.5%","13.5%","13.5%","13.5%","13.5%","13.5%","13.5%","13.5%","13.5%"
"","","","","","","","","","","","","","","","","",""
"Project hours","","","","","","","","","","","","","","","","",""
"  Non-billable headcount","33","33","33","33","33","33","33","33","33","33","33","33","33","33","33","33","33"
"  Billable headcount","123","123","123","123","123","123","123","123","123","123","123","123","123","123","123","123","123"
"  Non-billable %","21.2%","21.2%","21.2%","21.2%","21.2%","21.2%","21.2%","21.2%","21.2%","21.2%","21.2%","21.2%","21.2%","21.2%","21.2%","21.2%","21.2%"
"  Billable %","78.8%","78.8%","78.8%","78.8%","78.8%","78.8%","78.8%","78.8%","78.8%","78.8%","78.8%","78.8%","78.8%","78.8%","78.8%","78.8%","78.8%"
"  Hours available","21,316","21,316","21,316","63,948","21,316","21,316","21,316","63,948","21,316","21,316","21,316","63,948","21,316","21,316","21,316","63,948","255,791"
"  Hours worked","16,712","16,712","16,712","50,135","16,712","16,712","16,712","50,135","16,712","16,712","16,712","50,135","16,712","16,712","16,712","50,135","200,540"
"  Utilization","78.4%","78.4%","78.4%","78.4%","78.4%","78.4%","78.4%","78.4%","78.4%","78.4%","78.4%","78.4%","78.4%","78.4%","78.4%","78.4%","78.4%"
"  Hours billed","16,043","16,043","16,043","48,130","16,043","16,043","16,043","48,130","16,043","16,043","16,043","48,130","16,043","16,043","16,043","48,130","192,518"
"  Hours billed / head","130","130","130","391","130","130","130","391","130","130","130","391","130","130","130","391","1,565"
"  Padding %","4.0%","4.0%","4.0%","4.0%","4.0%","4.0%","4.0%","4.0%","4.0%","4.0%","4.0%","4.0%","4.0%","4.0%","4.0%","4.0%","4.0%"
"","","","","","","","","","","","","","","","","",""
"Bill rate","","","","","","","","","","","","","","","","",""
"  Break-even rate","$89","$93","$97","$93","$99","$102","$106","$102","$108","$110","$114","$111","$117","$121","$125","$121","$107"
"  Rate (per hour billed)","$66","$69","$73","$69","$74","$76","$79","$76","$81","$82","$85","$83","$88","$90","$93","$90","$80"
"  'Real' rate (per hour worked)","$64","$67","$70","$67","$71","$73","$76","$73","$77","$79","$82","$79","$84","$86","$89","$87","$76"
"","","","","","","","","","","","","","","","","",""
"Services billings","1,066","1,113","1,166","3,345","1,184","1,218","1,265","3,667","1,293","1,321","1,370","3,984","1,404","1,445","1,494","4,343","15,339"
"Sales efficiency","10.58x","9.78x","11.22x","10.54x","9.95x","10.23x","12.35x","10.87x","10.22x","10.28x","12.49x","11.02x","13.47x","13.69x","14.98x","14.06x","11.74x"
"FORECAST","","","","","","","","","","","","","","","","",""
